dish_id,name,url_method
1,Thực đơnGiảm cânMón chayĂn vặtBánh - bánh ngọtBánh ngọtMón nhậuChữa bệnhĂn kiêngMón ăn sángMón khai vịNguyên liệuGàCáHeoCuaBòTômẨm thựcViệt NamNgaBrazilTrung QuốcSingaporeHàn QuốcThái LanMalaysiaPhápẤn độMexicoIndonesiaMùa dịp lễTrung thuHalloweenLễ tình nhânSinh nhậtGiáng sinhTếtNgày của mẹCơm gia đìnhLễ cưới hỏiNgày ăn chayNgày thườngCông thức,https://www.cooky.vn/cach-lam/mon-an-giam-can-p5?st=2&itm_source=seo_recipe_menu&itm_medium=desktop&itm_content=purpose&itm_campaign=GiamCan
2,Công thức,https://www.cooky.vn/recipe
5,Công thức từ cộng đồng60Cháo thịt heo bí đỏ40pTrung bình24.46Kxemcông thức bởi:trinhdo364Smoothie xoài chuối kiwi - smoothie healthy bowl30pTrung bình12.08Kxemcông thức bởi:BẾP THÁNG 12192Bánh bông lan trà xanh bằng nồi cơm điện45pTrung bình22.4Kxemcông thức bởi:Tiểu Ngọc202Bún chay kiểu Huế45pDễ73.57Kxemcông thức bởi:Hoàng Thị Tố Hà569Cá basa kho tộ40pTrung bình183.98Kxemcông thức bởi:Trinh Nguyễn920Cơm chiên Dương Châu30pDễ86.53Kxemcông thức bởi:Tuyết Linh Hư,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
6,60Cháo thịt heo bí đỏ40pTrung bình24.46Kxemcông thức bởi:trinhdo364Smoothie xoài chuối kiwi - smoothie healthy bowl30pTrung bình12.08Kxemcông thức bởi:BẾP THÁNG 12192Bánh bông lan trà xanh bằng nồi cơm điện45pTrung bình22.4Kxemcông thức bởi:Tiểu Ngọc202Bún chay kiểu Huế45pDễ73.57Kxemcông thức bởi:Hoàng Thị Tố Hà569Cá basa kho tộ40pTrung bình183.98Kxemcông thức bởi:Trinh Nguyễn920Cơm chiên Dương Châu30pDễ86.53Kxemcông thức bởi:Tuyết Linh Hư,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
7,60Cháo thịt heo bí đỏ40pTrung bình24.46Kxemcông thức bởi:trinhdo364Smoothie xoài chuối kiwi - smoothie healthy bowl30pTrung bình12.08Kxemcông thức bởi:BẾP THÁNG 12192Bánh bông lan trà xanh bằng nồi cơm điện45pTrung bình22.4Kxemcông thức bởi:Tiểu Ngọc202Bún chay kiểu Huế45pDễ73.57Kxemcông thức bởi:Hoàng Thị Tố Hà569Cá basa kho tộ40pTrung bình183.98Kxemcông thức bởi:Trinh Nguyễn920Cơm chiên Dương Châu30pDễ86.53Kxemcông thức bởi:Tuyết Linh Hư,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
8,60Cháo thịt heo bí đỏ40pTrung bình24.46Kxemcông thức bởi:trinhdo,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
9,60Cháo thịt heo bí đỏ40pTrung bình24.46Kxemcông thức bởi:trinhdo,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
10,60Cháo thịt heo bí đỏ40pTrung bình24.46Kxem,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
11,60,https://www.cooky.vn/cong-thuc/chao-thit-heo-bi-do-393?itm_source=home_z3_p1_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Cháo+thịt+heo+bí+đỏ
12,364Smoothie xoài chuối kiwi - smoothie healthy bowl30pTrung bình12.08Kxemcông thức bởi:BẾP THÁNG 12,https://www.cooky.vn/cong-thuc/smoothie-xoai-chuoi-kiwi-smoothie-healthy-bowl-50880?itm_source=home_z3_p2_chefrecipe&itm_medium=desktop&itm_content=recipe&itm_campaign=Smoothie+xoài+chuối+kiwi+-+smoothie+healthy+bowl
